ID;Job tenure;Age;Car price;Funding amount;Down payment;Loan duration;Monthly payment;Credit event;Married;Homeowner;Default (y);Pred_default (y_hat);PD;Group
6060;12;72;16900;7400;1;72;0,1190;0;0;1;1;0;0,0670;0
6061;1;25;10900;12291;0;48;0,1458;0;0;0;1;0;0,3878;0
6062;1;30;9450;9450;0;48;0,1542;0;1;0;0;1;0,7782;0
6063;26;54;13300;14149;0;36;0,1515;0;1;1;0;0;0,0220;1
6064;5;61;10561;10542;0;60;0,0550;0;1;0;0;0;0,0670;0
6065;30;56;8670;6670;0;36;0,0590;0;1;1;0;0;0,0763;1
6066;1;36;7801;7562;0;60;0,0695;0;0;0;1;0;0,1983;0
6067;0;55;11299;8799;0;60;0,0725;0;0;0;0;0;0,0522;0
6068;0;31;5990;4742;0;36;0,0768;0;0;0;0;0;0,1141;0
6069;1;19;21890;23828;0;60;0,1429;0;1;0;1;1;0,6952;0
6070;1;36;19093;22090;0;72;0,2379;0;1;0;1;1;0,5676;0
6071;1;45;3690;3967;0;36;0,0735;0;1;1;0;0;0,0591;0
6072;22;56;10500;5990;0;60;0,0628;0;1;1;0;0;0,0914;1
6073;3;23;8300;8300;0;48;0,1194;0;0;0;0;0;0,1529;0
6074;11;77;17460;5350;1;24;0,1527;0;1;1;0;0;0,0307;1
6075;6;35;20111;20290;0;72;0,1069;0;1;0;0;0;0,1149;1
6076;11;41;13990;13534;0;96;0,1170;1;0;0;0;1;0,5879;0
6077;25;49;14990;16300;0;96;0,1131;0;0;1;0;0;0,2018;0
6078;4;58;11504;12041;0;36;0,0888;0;1;1;0;0;0,0852;0
6079;2;48;23000;4000;1;24;0,0527;0;1;1;0;0;0,0034;0
6080;1;53;16950;17699;0;48;0,1063;0;1;0;0;0;0,0815;0
6081;0;43;10600;11582;0;72;0,0516;0;1;0;1;0;0,4699;0
6082;3;64;15115;8527;1;60;0,1776;0;1;1;0;0;0,0140;0
6083;11;35;15999;16755;0;60;0,1636;0;0;0;0;0;0,0986;0
6084;13;47;6220;7059;0;60;0,0876;0;0;0;0;0;0,1430;0
6085;3;54;23280;20379;1;96;0,1215;0;1;1;0;0;0,0195;0
6086;9;30;7500;3866;1;24;0,1000;0;0;0;0;0;0,0150;0
6087;7;32;15319;16069;0;72;0,1220;0;0;0;0;0;0,0713;0
6088;15;50;11790;7790;0;60;0,0663;0;0;0;0;0;0,0256;0
6089;29;45;5173;5173;0;36;0,0570;1;1;1;0;0;0,2841;0
6090;8;32;33500;27500;0;60;0,1010;0;1;1;0;0;0,0396;1
6091;3;50;17490;15577;0;84;0,0905;0;1;1;0;0;0,0431;0
6092;0;29;11800;13266;0;96;0,0709;0;1;1;1;0;0,0500;0
6093;15;76;11690;3690;1;24;0,1610;0;1;0;0;0;0,0525;1
6094;5;65;9760;10215;0;60;0,2071;0;1;0;0;0;0,1726;0
6095;5;31;9080;9080;0;72;0,0712;0;0;0;0;0;0,4031;0
6096;5;49;7200;8079;0;48;0,0540;0;1;0;1;0;0,3725;0
6097;2;51;16940;15312;0;84;0,1200;0;0;0;0;0;0,0713;0
6098;0;21;17990;19725;0;72;0,1380;0;0;0;1;1;0,8526;0
6099;1;43;15890;15890;0;96;0,1267;1;0;0;1;1;0,6156;0
6100;24;45;7991;7991;0;36;0,0919;0;0;0;0;0;0,1583;0
6101;3;49;5704;5704;0;24;0,2245;0;1;0;0;0;0,0376;0
6102;2;26;6800;7435;0;60;0,0823;0;0;0;0;0;0,2608;0
6103;2;26;11600;7088;0;36;0,1161;0;0;0;0;0;0,0584;0
6104;3;65;5101;5271;0;24;0,1145;0;1;1;0;0;0,1027;0
6105;2;22;14760;14760;0;48;0,1564;0;0;0;0;0;0,2819;0
6106;1;46;5382;5726;0;24;0,2092;0;0;1;0;0;0,0551;0
6107;0;36;9890;9890;0;60;0,0823;0;1;1;1;0;0,3379;0
6108;0;50;10990;8329;0;36;0,1757;0;0;0;0;0;0,1223;0
6109;1;58;4834;5158;0;60;0,0529;0;1;0;0;1;0,6167;0
6110;20;75;16990;16990;0;96;0,1917;0;1;1;1;0;0,3813;1
6111;3;38;12990;13284;0;84;0,0792;0;1;0;0;0;0,2185;0
6112;26;58;6990;4205;0;48;0,0655;0;0;0;0;0;0,1284;0
6113;1;49;9990;6929;0;36;0,1639;0;0;0;0;0;0,0213;0
6114;5;42;7024;5392;0;36;0,0723;0;1;0;0;0;0,1598;0
6115;0;27;9950;9950;0;60;0,0570;0;1;0;0;0;0,4800;0
6116;10;33;15500;10000;0;60;0,0365;0;0;1;0;0;0,0125;0
6117;2;29;22850;22850;0;60;0,1519;0;0;0;1;1;0,5989;0
6118;11;75;5350;3850;0;36;0,0859;0;1;0;0;0;0,0443;1
6119;15;51;16900;10100;0;36;0,0556;0;0;0;0;0;0,0120;0
6120;19;42;12780;14341;0;96;0,1341;1;0;1;0;1;0,7950;0
